value,label,pattern,vendors[],color
arctic-camo,Arctic Camo,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/arctic-camo.jpg,zapcables,
armor,Armor,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/armor.jpg,zapcables,
charcoal-reflective,Charcoal with Reflective Tracers,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/charcoal-reflective.jpg,zapcables,
cheetah,Cheetah,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/cheetah.jpg,zapcables,
cowboy,Cowboy,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/cowboy.jpg,zapcables,
fusion,Fusion,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/fusion.jpg,zapcables,
giant,Giant,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/giant.jpg,zapcables,
ion-storm,Ion Storm,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/ion-storm.jpg,zapcables,
jaguar,Jaguar,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/jaguar.jpg,zapcables,
oil-slick,Oil Slick,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/oil-slick.jpg,zapcables,
plasma-purple,Plasma Purple,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/plasma-purple.jpg,zapcables,
tsunami,Tsunami,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/tsunami.jpg,zapcables,
virgo,Virgo,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/virgo.jpg,zapcables,
wake,Wake,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/wake.jpg,zapcables,
mountain,Mountain,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/mountain.jpg,zapcables,
gunslinger,Gunslinger,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/gunslinger.jpg,zapcables,
denim,Denim,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/denim.jpg,zapcables,
ravenous,Ravenous,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/ravenous.jpg,zapcables,
pirate,Pirate,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/pirate.jpg,zapcables,
carolina-blue,Carolina Blue,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/carolina-blue.jpg,zapcables,
norfolk,Norfolk,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/norfolk.jpg,zapcables,
black-silver-tracer,Black with Silver Tracer,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/black-silver-tracer.jpg,zapcables,
argon,Argon,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/argon.jpg,zapcables,
slip-stream,Slip Stream,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/slip-stream.jpg,zapcables,
horizon,Horizon ,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/horizon.jpg,zapcables,
polaris-2,Polaris,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/polaris-2.jpg,zapcables,
dragonfruit,Dragonfruit,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/dragonfruit.jpg,zapcables,
chameleon,Chameleon,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/chameleon.jpg,zapcables,
